ARTWORK_TITLE,ARTIST,YEAR,MEDIUM,TYPE,DIMENSION,SUPPORT,FRAME,SIGNATURE,AUTHENTICITY,ABOUT,IMAGE_LOC,SElLER_ID,ARTWORK_ID
"Arty caniche",Art'Mony,2018,Sculpture,"Unique work","15 x 20 x 6 cm (Height x Width x Depth)",NULL,NULL,"Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionBeautiful artwork by the artist Patricia Ducept !
        

        Read more",NULL,3,14
"Love is in the air",Art'Mony,2019,Sculpture,"Unique work","45 x 35 x 30 cm (Height x Width x Depth)",NULL,NULL,"Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionBeautiful work of mixed media by Art'Mony.
        

        Read more",NULL,3,15
"Love Pop Bouledogue",Art'Mony,2020,Sculpture,"Unique work","35 x 35 x 10 cm (Height x Width x Depth)",NULL,NULL,"Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionMagnificent work of the artist Art'Mony.
        

        Read more",NULL,3,16
"Pop canard",Art'Mony,2020,Sculpture,"Unique work","30 x 20 x 10 cm (Height x Width x Depth)",NULL,NULL,"Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionMagnificent work of art by the artist Art'Mony !
        

        Read more",NULL,3,17
"Un amour de chien",Art'Mony,2021,Sculpture,"Unique work","25 x 15 x 15 cm (Height x Width x Depth)",NULL,NULL,"Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,3,18
"Pop Titi",Art'Mony,2021,Painting,"Unique work","60 x 60 x 2 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,3,19
"Bug Bunny Happy",Art'Mony,2021,Painting,"Unique work","40 x 40 x 2 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,3,20
"Happy panther",Art'Mony,2020,Sculpture,"Unique work","12 x 50 x 12 cm (Height x Width x Depth)",NULL,NULL,"Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,3,21
"Pop Winnie",Art'Mony,2020,Painting,"Unique work","60 x 60 x 2 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,3,22
"Panthère rugissante",Art'Mony,2020,Painting,"Unique work","40 x 40 x 2 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,3,23
"Lovely Dog",Art'Mony,2020,Sculpture,"Unique work","35 x 20 x 13 cm (Height x Width x Depth)",NULL,NULL,"Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionBeautiful and very colored sculpture by the artist Art'Mony !
        

        Read more",NULL,3,24
"Love my Dog",Art'Mony,2020,Sculpture,"Unique work","30 x 28 x 27 cm (Height x Width x Depth)",NULL,NULL,"Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionMagnificent work of the artist Art'mony.
        

        Read more",NULL,3,25
Jack,Art'Mony,2020,Sculpture,"Unique work","14 x 10 x 20 cm (Height x Width x Depth)",NULL,NULL,"Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionBeautiful work by the artist Art'Mony !
        

        Read more",NULL,3,26
"Love pop Bear",Art'Mony,2020,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,27
"Pop Coin Coin",Art'Mony,2019,Sculpture,"Unique work","60 x 50 x 50 cm (Height x Width x Depth)",NULL,NULL,"Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionBeautiful work of mixed media by Art'Mony.
        

        Read more",NULL,3,28
"Arty 101 Dalmatiens",Art'Mony,2018,Painting,"Unique work","40 x 30 x 1 cm (Height x Width x Depth)","Painting on wood","White plastic frame","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionPicture typifies Pop art and collage on the theme of the animal.
        

        Read more",NULL,3,29
"Le rêveur","Nicolas Dubreuille",2014,Sculpture,"Unique work","180 x 90 x 120 cm (Height x Width x Depth)",NULL,NULL,"Signed artwork","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionPainted steel 1 / 1.
        

        Read more",NULL,0,30
"Sans titre ref 313","Nicolas Dubreuille",2020,Sculpture,"Unique work","55 x 30 x 32 cm (Height x Width x Depth)",NULL,NULL,"Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,0,31
"Sans titre ref 328","Nicolas Dubreuille",2021,Sculpture,"Unique work","38 x 30 x 23 cm (Height x Width x Depth)",NULL,NULL,"Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,0,32
"Sans Titre Ref (249)","Nicolas Dubreuille",2020,Painting,"Unique work","100 x 100 x 3 cm (Height x Width x Depth)","Painting on canvas on stretcher","White wood floater frame","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionThe artist Nicolas Dubreuille juggles with the superposition of shapes and colors, making his works unique. The work is hand signed by the artist and comes with a certificate of authenticity from Galerie Duret.
        

        Read more",NULL,5,33
"Sans Titre Ref (204)","Nicolas Dubreuille",2019,Painting,"Unique work","80 x 80 x 3 cm (Height x Width x Depth)","Painting on canvas on stretcher","Black wood floater frame","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionThe artist Nicolas Dubreuille juggles with the superposition of shapes and colors, making his works unique. The work is hand signed by the artist and comes with a certificate of authenticity from Galerie Duret.
        

        Read more",NULL,5,34
"Sans Titre Ref (300)","Nicolas Dubreuille",2015,Painting,"Unique work","30 x 30 cm (Height x Width x Depth)","Painting on rice paper","White wood frame with glass","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionThe artist Nicolas Dubreuille juggles with the superposition of shapes and colors, making his works unique. The work is hand signed by the artist and comes with a certificate of authenticity from Galerie Duret.
        

        Read more",NULL,5,35
"Sans titre Ref (242)","Nicolas Dubreuille",2020,Painting,"Unique work","150 x 150 x 3 cm (Height x Width x Depth)","Painting on canvas on stretcher","Black wood floater frame","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionThe artist Nicolas Dubreuille juggles with the superposition of shapes and colors, making his works unique. The work is hand signed by the artist and comes with a certificate of authenticity from Galerie Duret.
        

        Read more",NULL,5,36
"Sans Titre Ref (235)","Nicolas Dubreuille",2019,Painting,"Unique work","160 x 140 x 3 cm (Height x Width x Depth)","Painting on canvas on stretcher","White wood floater frame","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionThe art of Nicolas Dubreuille, an artist who has associated himself with color and geometry, is driven by a desire for research and renewal. His visually intense works do not yield to any system and resonate in a contemporary way with their minimalist and pop spirit. Galerie Duret provides you with the certificate of the work.
        

        Read more",NULL,0,37
"Sans titre Ref (317)","Nicolas Dubreuille",2019,Sculpture,"Unique work","45 x 25 x 30 cm (Height x Width x Depth)","Sculpture sold with aluminium pedestal. Dimensions of pedestal:4 x 30 x 25 cm",NULL,"Artwork signed in the mold","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionThe artist Nicolas Dubreuille juggles with the superposition of shapes and colors, making his works unique. The work is hand signed by the artist and comes with a certificate of authenticity from Galerie Duret.
        

        Read more",NULL,0,38
"Nu Homme N°6","Nathan Chantob",2019,Painting,"Unique work","116 x 81 x 3 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionA drape with a naked man's body.
        

        Read more",NULL,1,39
Planisphère,"Nathan Chantob",2019,Painting,"Unique work","120 x 120 x 3 cm (Height x Width x Depth)","Painting on Linen","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionOil on canvas on stretcher, naked woman disarticulated.
        

        Read more",NULL,1,40
"Crasy colors n° 690",Enitram,2018,Painting,"Unique work","114 x 195 x 3 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionMay also appear on its height.
        

        Read more",NULL,1,41
"n° 562 Abyss",Enitram,2018,Painting,"Unique work","50 x 65 x 2.4 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionTechnique mixte.
Œuvre unique abstraite.
        

        Read more",NULL,1,42
"N° 679 monochrome bleu 2",Enitram,2018,Painting,"Unique work","80 x 80 x 2.5 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,1,43
"Vie privée n°233",Enitram,2009,Painting,"Unique work","80 x 80 x 5 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionoil painting
        

        Read more",NULL,1,44
"N°722 chemins amoureux",Enitram,2019,Painting,"Unique work","97 x 195 x 3 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionPossibility of hanging it in both directions.
        

        Read more",NULL,1,45
"Dream - fond rouge","Julien Duquennoy",2019,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,46
"N°379 Jessica",Enitram,2013,Painting,"Unique work","81 x 100 x 2.5 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionEnitram introduced a new technique in 2010: superpositionism. She cuts, paints and superimposes scraps of canvas.
        

        Read more",NULL,1,47
"Trip n°291",Enitram,2009,Painting,"Unique work","130 x 97 x 3 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,12,48
"N° 271 pour notre planète",Enitram,2020,Painting,"Unique work","60 x 73 x 2.3 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionCollecting plastic bottles and making them work to save our planet; acrylic, oil and pieces of plastic.
        

        Read more",NULL,1,49
"Monochrome noir 14 n° 668",Enitram,2018,Painting,"Unique work","60 x 60 x 2.3 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,1,50
"Monochrome 16 n°675",Enitram,2018,Painting,"Unique work","70 x 70 x 2.35 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionPeinture acrylique et huile.
Fond noir.
Motif noir brillant et rouge.
        

        Read more",NULL,1,51
"Pour l'éternité n°496",Enitram,2019,Painting,"Unique work","150 x 50 x 3 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionBe careful, the color in the center is slightly more emerald green. This table can be reversed horizontally.
        

        Read more",NULL,1,52
"N°561 Electro",Enitram,2018,Painting,"Unique work","90 x 90 x 3 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,1,53
"Monochrome noir n°664",Enitram,2017,Painting,"Unique work","97 x 146 x 3 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionCan occur in both directions.
        

        Read more",NULL,1,54
"N° 647 Electro 6",Enitram,2018,Painting,"Unique work","80 x 80 x 3 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,1,55
"Sign n°665",Enitram,2018,Painting,"Unique work","70 x 70 x 2.3 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionAcrylique et huile sur toile.
Fond beige légèrement rosé.
        

        Read more",NULL,1,56
"n° 737 explosion",Enitram,2020,Painting,"Unique work","97 x 195 x 3 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionMatte black canvas background. Acrylic paint and oil.
        

        Read more",NULL,1,57
"n°741 explosion florale",Enitram,2020,Painting,"Unique work","130 x 81 x 2.5 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionAcrylic and oil on linen canvas.
        

        Read more",NULL,1,58
"N°742 sign 2",Enitram,2020,Painting,"Unique work","81 x 130 x 2.6 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionPieces of recycled plastic mixed with paint. The background of this work is matte black.
        

        Read more",NULL,1,59
"N°752 imagine",Enitram,2020,Painting,"Unique work","60 x 60 x 2.5 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,1,60
"Le chapeau de paille","Patricia Simsa",2020,Painting,"Unique work","100 x 81 x 2 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,1,61
"Ma Valentine","Patricia Simsa",2020,Painting,"Unique work","60 x 60 x 5 cm (Height x Width x Depth)","Painting on wood","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,1,62
"Le flotteur","Patricia Simsa",2020,Painting,"Unique work","60 x 60 x 5 cm (Height x Width x Depth)","Painting on wood","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,1,63
"N°744 Monochrome",Enitram,2020,Painting,"Unique work","97 x 146 x 2.8 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionMatte black paint background.
        

        Read more",NULL,1,64
"N°740 Lovely colors",Enitram,2020,Painting,"Unique work","97 x 146 x 2.8 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionThe gray background is mat.
        

        Read more",NULL,1,65
"738 entre ciel et mer",Enitram,2020,Painting,"Unique work","73 x 116 x 2.5 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionLacquer effect.
        

        Read more",NULL,1,66
"Belles de jour","Patricia Simsa",2010,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,67
"Les costumés","Patricia Simsa",2010,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,68
Flow,"Caroline Vis",2014,Painting,"Unique work","70 x 100 x 2 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionOriginal abstract painting painted in Mixed media oil. “Flow” is a painting with a format of 70 cm x 100 cm, which received its name from the fact that the colors mix in a very beautiful way. Each time you observe it, you will see and notice new details.
        

        Read more",NULL,1,69
"Happiness New Collection Summer 2020","Caroline Vis",2020,Painting,"Unique work","90 x 150 x 2 cm (Height x Width x Depth)","Painting on aluminium","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionNew summer 2020 collection. Inks, acrylics. powders and golden palettes. With an aluminum frame. Comes with certificate of authenticity.
        

        Read more",NULL,1,70
Lost,"Caroline Vis",2016,Painting,"Unique work","100 x 160 x 2 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition"Lost" is a large painting with the dimensions of 100 cm x 160 cm. As a spectator, you can have the idea that you are absorbed by the colors and get lost in them hence the name "Lost". This artwork contains a mixture of acrylic paints and inks finished with two coats of acrylic varnish to protect and provide the artwork with a very long life. The painting is signed lower right and on the back. As a spectator, you can have the idea that you are absorbed by the colors and get lost in them hence the name "Lost". This artwork contains a mixture of acrylic paints and inks finished with two coats of acrylic varnish to protect and provide the artwork with a very long life.
        

        Read more",NULL,1,71
"Journey through life","Caroline Vis",2016,Painting,"Unique work","100 x 160 x 2 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionThis a painting made in mixed medium acrylic and gold glitter.
        

        Read more",NULL,1,72
"Blending the Element of love.","Caroline Vis",2016,Painting,"Unique work","100 x 160 x 2 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,1,73
"You alone Diptych. New Release!","Caroline Vis",2019,Painting,"Unique work","70 x 200 x 2 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition"You Alone" is a large format diptych with the dimensions of 70cm x 200cm, a contemporary art picture painted on a high quality aluminum frame in bright pink and blue tones, containing a mixture of acrylic paints, golden glitter and inks that float in a shiny varnish, shining like a mirror. The work is signed lower right and on the back.
        

        Read more",NULL,1,74
""Hurt"  Collection Carrèe!","Caroline Vis",2019,Painting,"Unique work","140 x 140 x 2 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionLots of colors, lots of little lines and lines, with different gold tones and gold foils / palettes.
        

        Read more",NULL,1,75
"New release 2020! Yellow","Caroline Vis",2020,Painting,"Unique work","70 x 100 x 2 cm (Height x Width x Depth)","Painting on aluminium","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionAcrylic, Ink on Canvas Work on rigid support. Ready to hang. Supervision on request. 70x100cm With authenticity certification
        

        Read more",NULL,1,76
"Colors of my mind (4 canvases)","Caroline Vis",2015,Painting,"Unique work","140 x 200 x 2 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,1,77
"White Wave","Caroline Vis",2019,Painting,"Unique work","100 x 70 x 2 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition“White Wave” 70 x 100 cm is the oil painting. Standing for all the waves, which offer us our lives, sometimes it's a struggle, but the thumbs up along with the flow of the waves, then it's good to live. White Wave have so many little lines, there are same lines with three different colors in it, White Wave gives the viewer time to look.
        

        Read more",NULL,14,78
"First love for Pollock, New collection","Caroline Vis",2020,Painting,"Unique work","70 x 100 x 2 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionInk, acrylic, gold powder Aluminum frame.
        

        Read more",NULL,1,79
Tango,"Caroline Vis",2018,Painting,"Unique work","160 x 100 x 2 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionAcrylic, Ink on Canvas Work on frame. Ready to hang. Supervision on request. 160x100cm Book with authenticity certification
        

        Read more",NULL,1,80
4-Seasons,"Caroline Vis",2018,Painting,"Unique work","120 x 80 x 2 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionA paint dipping paint of an ode to Jackson Pollock. Arrives in a wooden crate.
        

        Read more",NULL,1,81
"Spring XL","Caroline Vis",2017,Painting,"Unique work","100 x 160 x 2 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,1,82
"Rebellion thoughts","Caroline Vis",2016,Painting,"Unique work","80 x 140 x 2 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,1,83
"Nice Jazz Blues","Caroline Vis",2020,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,84
"Nouvelle collection "After World" Été 2020 !","Caroline Vis",2020,Painting,"Unique work","70 x 100 x 2 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionNew "After World" Summer 2020 collection! High quality canvas with an aluminum frame / frame. Comes with a certificate of authenticity in a wooden case.
        

        Read more",NULL,1,85
"Action painting in Green and Yellow and Gold","Caroline Vis",2017,Painting,"Unique work","140 x 80 x 2 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,1,86
"Holi Pagwa III","Caroline Vis",2015,Painting,"Unique work","100 x 160 x 2 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionInks and acrylics in a dripping art painting. Shipped in a wooden case.
        

        Read more",NULL,1,87
"Confidence, XXL Dripping Art","Caroline Vis",2016,Painting,"Unique work","160 x 250 x 2 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition"Confidence" XXL Dripping Art Acrylic inks in vibrant color tones. Shipping rolled in a wooden crate. In France, it is possible to have the Artist personally delivered.
        

        Read more",NULL,1,88
"Devotion Triptych","Caroline Vis",2020,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,89
"Sans fin avec verre Endless","Caroline Vis",2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,90
"Connexion xl","Caroline Vis",2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,91
"Orange feeling","Caroline Vis",2020,Painting,"Unique work","70 x 100 x 2 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition"Orange Feeling" contains a lot of golden glitter. New collection 2020! An inspiring art painting in bright colours, with a modern touch of Pollock's dripping technique. The colours overlap and there is so much going on in this painting that the viewer keeps looking at this modern art painting. Inks and acrylics are the ingredients with lots of powders and golden palettes. The artist's feeling: The things you can visualize are the most achievable, if you keep believing and perceiving them, you can conceive them.
        

        Read more",NULL,1,92
"Pollock's way of love","Caroline Vis",2016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,93
